CVE-2011-3374	apt	2.2.4		LOW	https://avd.aquasec.com/nvd/cve-2011-3374
CVE-2022-3715	bash	5.1-2+b3		HIGH	https://avd.aquasec.com/nvd/cve-2022-3715
TEMP-0841856-B18BAF	bash	5.1-2+b3		LOW	https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF
CVE-2017-13716	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2018-20673	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20673
CVE-2018-20712	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20712
CVE-2018-9996	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-9996
CVE-2019-1010204	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2019-1010204
CVE-2020-19726	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-19726
CVE-2020-35448	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-35448
CVE-2021-20197	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20197
CVE-2021-20284	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20284
CVE-2021-32256	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-32256
CVE-2021-3530	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3530
CVE-2021-3549	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3549
CVE-2021-3826	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3826
CVE-2021-45078	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-45078
CVE-2021-46174	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-46174
CVE-2021-46195	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-46195
CVE-2022-35205	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-35205
CVE-2022-35206	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-35206
CVE-2022-38533	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-38533
CVE-2022-4285	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-4285
CVE-2022-44840	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-44840
CVE-2022-45703	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-45703
CVE-2022-47007	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47007
CVE-2022-47008	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47008
CVE-2022-47010	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47010
CVE-2022-47011	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47011
CVE-2022-47673	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47673
CVE-2022-47695	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47695
CVE-2022-47696	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47696
CVE-2022-48063	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48063
CVE-2022-48064	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48064
CVE-2022-48065	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48065
CVE-2023-1579	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-1579
CVE-2023-1972	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-1972
CVE-2023-25584	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25584
CVE-2023-25585	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25585
CVE-2023-25586	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25586
CVE-2023-25588	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25588
CVE-2024-53589	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2024-53589
CVE-2024-57360	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2024-57360
CVE-2025-0840	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-0840
CVE-2025-11081	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11081
CVE-2025-11082	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11082
CVE-2025-11083	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11083
CVE-2025-1147	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1147
CVE-2025-1148	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1148
CVE-2025-1149	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1149
CVE-2025-1150	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1150
CVE-2025-1151	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1151
CVE-2025-1152	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1152
CVE-2025-1153	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1153
CVE-2025-1176	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1176
CVE-2025-1178	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1178
CVE-2025-1179	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1179
CVE-2025-1180	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1180
CVE-2025-1181	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1181
CVE-2025-1182	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1182
CVE-2025-3198	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-3198
CVE-2025-5244	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5244
CVE-2025-5245	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5245
CVE-2025-7545	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7545
CVE-2025-7546	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7546
CVE-2025-8224	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8224
CVE-2025-8225	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8225
CVE-2017-13716	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2018-20673	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20673
CVE-2018-20712	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20712
CVE-2018-9996	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-9996
CVE-2019-1010204	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2019-1010204
CVE-2020-19726	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-19726
